iter	Logloss
0	0.638388523
1	0.5974770828
2	0.5577385843
3	0.522397958
4	0.4932524716
5	0.4633996793
6	0.4375766274
7	0.4143546362
8	0.3988161763
9	0.3837160354
10	0.3690472017
11	0.3583279588
12	0.3486342144
13	0.3371468318
14	0.3277790351
15	0.3187278609
16	0.3107361114
17	0.3040252923
18	0.2986832583
19	0.2922821063
20	0.286589939
21	0.2816032338
22	0.2782667973
23	0.2733955944
24	0.2694708398
25	0.2668762463
26	0.2646671023
27	0.2615949964
28	0.2580419841
29	0.2566030091
30	0.2549778089
31	0.2532946655
32	0.2512954777
33	0.2489165414
34	0.2467763106
35	0.2452019476
36	0.2437375885
37	0.2417275146
38	0.240439676
39	0.239132131
40	0.2379271772
41	0.2363048888
42	0.2352671103
43	0.2338673815
44	0.2327844403
45	0.2320807292
46	0.2312020405
47	0.2307135128
48	0.229860221
49	0.2289662629
50	0.2281556804
51	0.2274765648
52	0.2268435414
53	0.2262929655
54	0.2256425536
55	0.2247834048
56	0.2241091127
57	0.2234662679
58	0.2230446336
59	0.2225815512
60	0.2221688989
61	0.2218148975
62	0.221130299
63	0.2205140146
64	0.219900594
65	0.2194231933
66	0.2187145426
67	0.2183424134
68	0.2178683795
69	0.2175461566
70	0.2169083782
71	0.2164510662
72	0.2159501463
73	0.2155603825
74	0.2151146686
75	0.2147610841
76	0.2144711174
77	0.2141552621
78	0.2139244779
79	0.21366192
80	0.2132717074
81	0.2128857265
82	0.2125874424
83	0.2123317034
84	0.2120934398
85	0.2118627164
86	0.211566103
87	0.2113691381
88	0.2111222785
89	0.2108280233
90	0.2103106222
91	0.2099628953
92	0.2097531441
93	0.2095208298
94	0.2090967806
95	0.2088206412
96	0.2086334252
97	0.208223225
98	0.208015094
99	0.2076148743
100	0.207342536
101	0.2071428446
102	0.2068918877
103	0.2066295
104	0.2063238844
105	0.2060270859
106	0.2055837165
107	0.205440068
108	0.2050148261
109	0.2047240121
110	0.2044336769
111	0.2042848608
112	0.2040316649
113	0.2038047097
114	0.2035108855
115	0.2032929811
116	0.2030673962
117	0.2027254945
118	0.2024682057
119	0.2023303509
120	0.2021218005
121	0.2020098731
122	0.2018257707
123	0.2016894378
124	0.2013431222
125	0.2012369101
126	0.2010109214
127	0.2007318354
128	0.2004869462
129	0.2003129062
130	0.2001719825
131	0.2000493848
132	0.1998633232
133	0.1995384439
134	0.1992458517
135	0.1990764225
136	0.1989908659
137	0.1988021491
138	0.1987232973
139	0.19845695
