iter	Passed	Remaining
399	46434	69651
400	46522	69493
401	46609	69335
402	46689	69165
403	46778	69010
404	46865	68852
405	46953	68696
406	47041	68539
407	47114	68362
408	47186	68184
409	47256	68002
410	47332	67831
411	47416	67672
412	47492	67500
413	47571	67335
414	47643	67160
415	47727	67001
416	47799	66827
417	47879	66665
418	47962	66506
419	48037	66337
420	48148	66218
421	48263	66104
422	48357	65962
423	48438	65803
424	48512	65634
425	48577	65454
426	48649	65284
427	48724	65117
428	48798	64951
429	48866	64776
430	48936	64604
431	49007	64436
432	49097	64292
433	49178	64136
434	49254	63974
435	49336	63820
436	49428	63680
437	49500	63514
438	49572	63348
439	49646	63186
440	49717	63020
441	49791	62859
442	49865	62698
443	49936	62533
444	50012	62375
445	50084	62212
446	50156	62050
447	50231	61891
448	50308	61737
449	50382	61579
450	50455	61419
451	50530	61262
452	50604	61105
453	50676	60946
454	50747	60785
455	50824	60633
456	50899	60477
457	50973	60322
458	51043	60162
459	51113	60003
460	51182	59842
461	51249	59679
462	51318	59520
463	51390	59365
464	51457	59204
465	51528	59047
466	51599	58892
467	51671	58737
468	51742	58582
469	51809	58423
470	51883	58272
471	51960	58125
472	52034	57975
473	52110	57827
474	52184	57677
475	52255	57525
476	52326	57373
477	52401	57225
478	52475	57076
479	52545	56924
480	52616	56773
481	52683	56618
482	52757	56471
483	52834	56327
484	52906	56179
485	52977	56029
486	53049	55881
487	53122	55735
488	53209	55603
489	53306	55482
490	53407	55365
491	53494	55234
492	53567	55088
493	53644	54947
494	53717	54802
495	53791	54659
496	53866	54517
497	53939	54372
498	54012	54229
499	54084	54084
500	54157	53941
501	54230	53798
502	54300	53653
503	54381	53518
504	54453	53374
505	54527	53234
506	54599	53091
507	54676	52954
508	54762	52825
509	54834	52683
510	54907	52543
511	54980	52402
512	55057	52267
513	55131	52127
514	55200	51985
515	55269	51842
516	55339	51700
517	55409	51558
518	55477	51415
519	55548	51275
520	55617	51133
521	55702	51007
522	55765	50860
523	55832	50718
524	55904	50580
525	55994	50458
526	56059	50314
527	56128	50175
528	56207	50044
529	56277	49906
530	56345	49766
531	56410	49624
532	56475	49481
533	56554	49352
534	56657	49244
535	56749	49126
536	56844	49011
537	56914	48874
538	56984	48738
539	57048	48597
540	57125	48467
541	57209	48343
542	57287	48214
543	57368	48088
544	57442	47956
545	57513	47822
546	57581	47685
547	57649	47550
548	57722	47418
549	57791	47283
550	57861	47150
551	57924	47011
552	57991	46875
553	58058	46740
554	58119	46600
555	58180	46460
556	58248	46326
557	58313	46191
558	58398	46070
559	58476	45945
560	58542	45811
561	58603	45673
562	58667	45537
563	58729	45400
564	58799	45270
565	58862	45134
566	58922	44996
567	58984	44861
568	59044	44724
569	59103	44586
570	59168	44453
571	59230	44318
572	59292	44184
573	59350	44047
574	59410	43912
575	59470	43777
576	59532	43643
577	59591	43508
578	59651	43373
579	59713	43240
580	59781	43112
581	59845	42981
582	59914	42854
583	59980	42725
584	60042	42593
585	60103	42462
586	60164	42330
587	60226	42199
588	60288	42068
589	60361	41946
590	60431	41821
591	60501	41697
592	60567	41570
593	60630	41441
594	60696	41314
595	60758	41185
596	60822	41057
597	60889	40932
598	60950	40803
599	61014	40676
600	61076	40548
601	61142	40423
602	61204	40295
603	61271	40171
604	61352	40056
605	61441	39947
606	61527	39835
607	61604	39718
608	61675	39597
609	61756	39483
610	61841	39371
611	61916	39254
612	61988	39134
613	62059	39014
614	62136	38898
615	62203	38776
616	62269	38653
617	62340	38533
618	62407	38412
619	62474	38291
620	62547	38172
621	62608	38048
622	62673	37925
623	62744	37807
624	62811	37686
625	62886	37571
626	62958	37453
627	63026	37333
628	63091	37212
629	63157	37092
630	63220	36970
631	63282	36848
632	63346	36726
633	63402	36601
634	63462	36478
635	63519	36353
636	63581	36232
637	63638	36108
638	63695	35984
639	63753	35861
640	63810	35737
641	63868	35615
642	63924	35491
643	63989	35372
644	64053	35254
645	64120	35137
646	64178	35015
647	64234	34892
648	64296	34773
649	64362	34656
650	64427	34539
651	64495	34423
652	64566	34310
653	64632	34193
654	64730	34094
655	64845	34004
656	64928	33897
657	65002	33785
658	65069	33670
659	65143	33558
660	65265	33472
661	65329	33355
662	65481	33283
663	65595	33193
664	65680	33086
665	65752	32975
666	65835	32868
667	65895	32750
668	65952	32631
669	66009	32512
670	66069	32394
671	66137	32281
672	66197	32164
673	66253	32045
674	66309	31926
675	66373	31811
676	66448	31702
677	66536	31599
678	66622	31496
679	66731	31402
680	66803	31292
681	66865	31177
682	66922	31060
683	66983	30945
684	67038	30828
685	67094	30710
686	67165	30600
